category,is_page_list,url
decoration_exterieure_de_noel,False,https://www.castorama.fr/decoration-exterieure-de-noel/cat_id_0002070.cat
couronne_de_noel,False,https://www.castorama.fr/couronne-de-noel/cat_id_0002073.cat
decoration_de_table_de_noel,False,https://www.castorama.fr/decoration-de-table-de-noel/cat_id_0002072.cat
chaussette_de_noel,False,https://www.castorama.fr/chaussette-de-noel/cat_id_0002063.cat
neige_artificielle,False,https://www.castorama.fr/neige-artificielle/cat_id_0002080.cat
papier_cadeau_de_noel,False,https://www.castorama.fr/papier-cadeau-de-noel/cat_id_0002076.cat
rangement_noel,False,https://www.castorama.fr/rangement-noel/cat_id_0002077.cat
decoration_de_noel,False,https://www.castorama.fr/jardin-et-terrasse/decoration-de-noel/cat_id_5082.cat
bouteille_de_gaz,False,https://www.castorama.fr/outillage/soudure/bouteille-de-gaz-et-raccordement/bouteille-de-gaz/cat_id_0001535.cat
station_electrique,False,https://www.castorama.fr/nouvelle-energie/cat_id_0002511.cat
panneau_solaire,False,https://www.castorama.fr/panneau-solaire/cat_id_0003316.cat
les_produits_essentiels,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/produits-d-entretien-essentiels/cat_id_2784.cat
diluant_nettoyant_et_detachant,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/diluant-nettoyant-et-detachant/cat_id_4136.cat
entretien_cuisine_salle_de_bains_et_wc,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/cat_id_4445.cat
deboucheur,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/deboucheur/cat_id_550.cat
produits_de_gros_lessivage,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/le-gros-lessivage/cat_id_4134.cat
accessoire_de_menage,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/cat_id_3989.cat
insecticide,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/insecticide/cat_id_3132.cat
desodorisant_et_parfum_d_ambiance,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/desodorisant-et-parfum-d-ambiance/cat_id_2041.cat
entretien_du_meuble,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/produits-d-entretien-specifique/entretien-du-meuble/cat_id_1883.cat
entretien_de_la_cheminee,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/produits-d-entretien-specifique/entretien-de-la-cheminee/cat_id_3131.cat
entretien_des_metaux,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/produits-d-entretien-specifique/entretien-des-metaux/cat_id_3961.cat
